family_id,assigned_day
0,52
1,26
2,100
3,2
4,53
5,32
6,88
7,25
8,18
9,88
10,92
11,19
12,98
13,54
14,45
15,22
16,46
17,47
18,75
19,3
20,3
21,56
22,61
23,19
24,75
25,16
26,58
27,38
28,27
29,8
30,68
31,74
32,24
33,32
34,46
35,31
36,47
37,15
38,13
39,9
40,25
41,92
42,81
43,11
44,49
45,5
46,15
47,45
48,32
49,33
50,50
51,28
52,33
53,37
54,69
55,91
56,12
57,31
58,74
59,15
60,98
61,18
62,39
63,63
64,3
65,47
66,66
67,94
68,85
69,5
70,32
71,71
72,66
73,10
74,28
75,53
76,79
77,20
78,52
79,37
80,18
81,17
82,8
83,88
84,9
85,54
86,29
87,25
88,57
89,23
90,54
91,17
92,85
93,5
94,47
95,24
96,75
97,96
98,3
99,39
100,39
101,53
102,29
103,68
104,47
105,12
106,34
107,12
108,34
109,17
110,22
111,68
112,13
113,18
114,15
115,22
116,77
117,94
118,69
119,4
120,56
121,17
122,24
123,22
124,14
125,47
126,3
127,2
128,56
129,43
130,16
131,11
132,76
133,54
134,18
135,5
136,88
137,82
138,2
139,89
140,61
141,89
142,26
143,38
144,28
145,18
146,64
147,28
148,63
149,61
150,60
151,3
152,88
153,3
154,25
155,100
156,95
157,87
158,13
159,55
160,40
161,47
162,86
163,84
164,18
165,97
166,14
167,93
168,19
169,67
170,12
171,24
172,21
173,55
174,34
175,17
176,52
177,13
178,80
179,2
180,20
181,7
182,94
183,17
184,4
185,80
186,50
187,43
188,20
189,1
190,9
191,54
192,77
193,35
194,95
195,55
196,100
197,59
198,90
199,51
200,26
201,35
202,23
203,38
204,67
205,1
206,28
207,47
208,1
209,71
210,23
211,67
212,10
213,52
214,31
215,1
216,43
217,5
218,38
219,68
220,1
221,17
222,36
223,60
224,4
225,61
226,59
227,49
228,87
229,48
230,57
231,48
232,47
233,87
234,82
235,53
236,37
237,3
238,19
239,14
240,33
241,60
242,60
243,89
244,35
245,13
246,50
247,66
248,80
249,14
250,7
251,97
252,92
253,73
254,18
255,12
256,93
257,74
258,92
259,60
260,37
261,83
262,32
263,48
264,11
265,11
266,32
267,18
268,39
269,30
270,67
271,73
272,43
273,38
274,8
275,15
276,69
277,3
278,54
279,38
280,23
281,22
282,17
283,73
284,20
285,66
286,54
287,47
288,63
289,66
290,56
291,80
292,66
293,23
294,46
295,10
296,39
297,48
298,19
299,32
300,5
301,45
302,4
303,27
304,86
305,58
306,2
307,32
308,47
309,19
310,64
311,59
312,43
313,37
314,39
315,45
316,53
317,25
318,49
319,10
320,7
321,95
322,82
323,48
324,33
325,1
326,26
327,46
328,10
329,19
330,93
331,17
332,10
333,23
334,22
335,68
336,89
337,24
338,74
339,45
340,13
341,58
342,54
343,89
344,30
345,66
346,1
347,59
348,5
349,19
350,74
351,27
352,93
353,25
354,27
355,85
356,51
357,55
358,11
359,90
360,55
361,34
362,81
363,12
364,99
365,4
366,93
367,17
368,93
369,72
370,93
371,26
372,98
373,9
374,75
375,6
376,26
377,82
378,25
379,65
380,73
381,27
382,48
383,12
384,3
385,29
386,15
387,39
388,32
389,54
390,40
391,53
392,60
393,36
394,28
395,8
396,2
397,52
398,37
399,5
400,3
401,52
402,63
403,17
404,48
405,54
406,3
407,68
408,21
409,81
410,81
411,83
412,25
413,62
414,26
415,24
416,96
417,10
418,32
419,26
420,60
421,69
422,24
423,74
424,4
425,30
426,36
427,24
428,40
429,2
430,66
431,15
432,45
433,1
434,62
435,1
436,11
437,64
438,25
439,6
440,39
441,33
442,29
443,14
444,26
445,74
446,27
447,19
448,82
449,18
450,60
451,33
452,87
453,33
454,11
455,3
456,94
457,70
458,46
459,66
460,30
461,27
462,80
463,71
464,46
465,46
466,36
467,3
468,42
469,93
470,17
471,38
472,14
473,56
474,22
475,33
476,54
477,60
478,5
479,34
480,78
481,72
482,30
483,78
484,26
485,30
486,11
487,26
488,7
489,16
490,28
491,73
492,95
493,16
494,95
495,56
